Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError,measureAttributesUsed,measureNumIterations
breast-cancer,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,17.0,12.0,0.0,58.62068965517241,41.37931034482759,0.0,-0.10126582278481035,0.43970078452837064,0.5199277863859137,103.92047176188153,112.33940652342089,25.93046867268204,31.28791201217095,-5.35744333948891,0.8941540921614496,1.0788935176610672,-0.18473942549961758,-2.3123770587293264,-0.07973713995618367,-263.38008422423496,0.8,16.0,0.8888888888888888,8.0,0.1111111111111111,1.0,0.2,4.0,0.6666666666666666,0.8,0.7272727272727272,0.44722222222222224,0.5862068965517241,0.6750957854406131,0.324904214559387,0.41379310344827586,0.5218390804597701,0.5862068965517241,0.5459023734885803,0.44722222222222224,0.001,0.0,0.0,0.0,9512.0,31757.0,6905.0,'Number of leaves: 23\nSize of the tree: 26\n',26.0,23.0,23.0,?,?,?
breast-cancer,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,22.0,7.0,0.0,75.86206896551724,24.137931034482758,0.0,0.33442622950819656,0.35268873982997717,0.4266203950572526,83.35573080122596,92.17872798193956,25.93046867268204,22.994493034723128,2.9359756379589115,0.8941540921614496,0.7929135529214871,0.10124053923996247,4.678657682370239,0.16133302353000822,532.8997923531464,0.95,19.0,0.6666666666666666,6.0,0.3333333333333333,3.0,0.05,1.0,0.76,0.95,0.8444444444444444,0.6833333333333333,0.7586206896551724,0.475287356321839,0.5247126436781608,0.2413793103448276,0.756896551724138,0.7586206896551724,0.72561155319776,0.6833333333333335,0.002,0.0,0.0,0.0,8329.0,31757.0,6905.0,'Number of leaves: 16\nSize of the tree: 19\n',19.0,16.0,16.0,?,?,?
breast-cancer,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,25.0,4.0,0.0,86.20689655172414,13.793103448275861,0.0,0.6329113924050631,0.32351375923404896,0.36820291931235355,76.46041049738653,79.5566202054045,25.93046867268204,18.79988287566895,7.13058579701309,0.8941540921614496,0.6482718232989293,0.24588226886252035,7.8528429567168185,0.2707876881626489,894.439958021512,1.0,20.0,0.4444444444444444,4.0,0.5555555555555556,5.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7666666666666667,0.8620689655172413,0.30651340996168586,0.6934865900383141,0.13793103448275862,0.8850574712643678,0.8620689655172413,0.8486341244961935,0.7666666666666667,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,20.0,9.0,0.0,68.96551724137932,31.03448275862069,0.0,0.0777385159010601,0.39901520626525006,0.46900535894344375,94.30469522524531,101.33673379191782,25.93046867268204,26.57168978298974,-0.6412211103077006,0.8941540921614496,0.9162651649306807,-0.022111072769231053,1.3549270677971204,0.046721623027486905,154.32639062342182,0.95,19.0,0.8888888888888888,8.0,0.1111111111111111,1.0,0.05,1.0,0.7037037037037037,0.95,0.8085106382978724,0.5388888888888889,0.6896551724137931,0.628544061302682,0.371455938697318,0.3103448275862069,0.640485312899106,0.6896551724137931,0.6140198759421064,0.5388888888888889,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,21.0,8.0,0.0,72.41379310344827,27.586206896551722,0.0,0.14705882352941166,0.3828886413331591,0.45110225432238826,90.4932846146432,97.46845784914437,25.93046867268204,25.042212157246226,0.8882565154358133,0.8941540921614496,0.8635245571464216,0.030629535015028044,2.566288610557337,0.08849271070887368,292.30064700767485,1.0,20.0,0.8888888888888888,8.0,0.1111111111111111,1.0,0.0,0.0,0.7142857142857143,1.0,0.8333333333333333,0.5611111111111111,0.7241379310344828,0.6130268199233717,0.38697318007662834,0.27586206896551724,0.8029556650246306,0.7241379310344828,0.6367816091954023,0.5611111111111111,0.0,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,22.0,7.0,0.0,75.86206896551724,24.137931034482758,0.0,0.1714285714285712,0.3675811871273638,0.42626207046632036,89.46540170167304,95.21942834723286,24.707458963264745,22.970080914937718,1.7373780483270274,0.8519813435608533,0.7920717556875075,0.05990958787334577,2.907143115995561,0.10024631434467453,329.34585871001065,1.0,21.0,0.875,7.0,0.125,1.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.6041666666666666,0.7586206896551724,0.6336206896551724,0.36637931034482757,0.2413793103448276,0.8189655172413793,0.7586206896551724,0.6819923371647509,0.6041666666666666,0.0,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,23.0,5.0,0.0,82.14285714285714,17.857142857142858,0.0,0.5070422535211266,0.3432196744596326,0.39528813745495456,82.8461283178423,87.45704165407646,24.187188209924837,19.974711414869635,4.212476795055203,0.8638281503544585,0.7133825505310584,0.15044559982340008,4.97308953205333,0.17761034043047608,564.2960271568106,0.95,19.0,0.5,4.0,0.5,4.0,0.05,1.0,0.8260869565217391,0.95,0.8837209302325583,0.6875,0.8214285714285714,0.37142857142857144,0.6285714285714287,0.17857142857142858,0.8186335403726707,0.8214285714285714,0.8070534117045746,0.6875,0.001,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,22.0,6.0,0.0,78.57142857142857,21.428571428571427,0.0,0.3225806451612903,0.35517519816622617,0.4090837657858014,85.73194438495109,90.50930841154404,24.187188209924837,20.88688139005297,3.3003068198718672,0.8638281503544585,0.7459600496447489,0.11786810070970954,4.139813890544334,0.14785049609086906,469.7443141825373,1.0,20.0,0.75,6.0,0.25,2.0,0.0,0.0,0.7692307692307693,1.0,0.8695652173913044,0.71875,0.7857142857142857,0.5357142857142857,0.4642857142857143,0.21428571428571427,0.8351648351648352,0.7857142857142857,0.7354037267080746,0.71875,0.001,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,20.0,8.0,0.0,71.42857142857143,28.571428571428573,0.0,0.1764705882352943,0.3917563142406216,0.4624119647648219,94.56186895463274,102.30811054477667,24.187188209924837,25.218880498044925,-1.0316922881200874,0.8638281503544585,0.9006743035016045,-0.036846153147145976,1.0758036537391038,0.03842155906211085,122.07134496432535,0.9,18.0,0.75,6.0,0.25,2.0,0.1,2.0,0.75,0.9,0.8181818181818182,0.5375,0.7142857142857143,0.5642857142857143,0.43571428571428567,0.2857142857142857,0.6785714285714286,0.7142857142857143,0.6796536796536797,0.5375,0.0,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,21.0,7.0,0.0,75.0,25.0,0.0,0.3098591549295775,0.3684083856063344,0.43006779822848984,88.92616204290825,95.15200123614171,24.187188209924837,22.478218568560557,1.7089696413642805,0.8638281503544585,0.8027935203057341,0.0610346300487243,2.9670469276271003,0.10596596170096786,336.67055114459157,0.9,18.0,0.625,5.0,0.375,3.0,0.1,2.0,0.782608695652174,0.9,0.8372093023255814,0.71875,0.75,0.47500000000000003,0.525,0.25,0.7304347826086957,0.75,0.7298747763864044,0.71875,0.001,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
